514	-2.40227e-07 -1.23314e-06 -1.98113e-07     0.921954     0.224925    -0.315079   -0.0116016   0.00907886    0.0435239   0.00422528	-0.194009  0.164432  0.105541  -1.56148 -0.431964   -2.1596	0.000141421 0.000141421 0.000141421 0.000147694 0.000581998 0.000128111 0.000254239 0.000459278 0.000455876 0.000109277
514.17	0.000585099  0.00341356 0.000527475    0.922063      0.2238   -0.315598  -0.0105131           0           0           0	-0.194009  0.164432  0.105541  -1.56148 -0.431964   -2.1596	0.000178148 0.000178098 0.000174095  0.00014682 0.000585014 0.000117235 0.000247192           0           0           0
514.37	 0.00136334  0.00357061 0.000372482    0.947255   -0.034204   -0.305501  -0.0905977           0           0           0	-0.202559  0.164416 0.0990529  -1.56326 -0.433613  -2.15795	0.000203518 0.000203452 0.000201004 3.81649e-05 0.000703173  0.00010449  0.00024881           0           0           0
514.57	0.000264704  0.00241719 0.000629388    0.900658   -0.290657   -0.276589    -0.16683           0           0           0	-0.206008  0.165013 0.0967135  -1.56812 -0.435598  -2.15395	0.000226717 0.000226693 0.000224754 0.000284301  0.00087989 0.000164945 0.000272166           0           0           0
514.78	0.000242993  0.00236256 0.000480554    0.900143   -0.291025   -0.277626   -0.167244           0           0           0	-0.209629   0.16564  0.094257  -1.57322 -0.437683  -2.14975	0.000247872 0.000247854 0.000246051 0.000285901 0.000880488 0.000169741 0.000278127           0           0           0
514.98	0.00029388 0.00240232 0.00048826   0.893859  -0.309872  -0.273787  -0.173308          0          0          0	-0.215431  0.164969 0.0884497  -1.57689 -0.444304  -2.14583	0.000267532 0.000267513 0.000265786 0.000383528  0.00109996 0.000218223 0.000345287           0           0           0
515.19	 0.00032599  0.00241733 0.000546734     0.88636   -0.331568   -0.268416   -0.179951           0           0           0	 -0.21011  0.165084 0.0806362  -1.57963 -0.447812  -2.14316	0.000285864 0.000285844 0.000284192 0.000498822  0.00133307 0.000272179 0.000405216           0           0           0
515.4	0.000299137  0.00237288 0.000509708    0.885793   -0.332575    -0.26947   -0.179307           0           0           0	-0.204789  0.165199 0.0728226  -1.58238  -0.45132  -2.14049	0.000303007 0.000302987 0.000301317 0.000499022  0.00133254 0.000281162 0.000410351           0           0           0
518.07	  -0.446177    0.137264 -0.00775454    0.199679   -0.925353  0.00258712   -0.322249           0           0           0	-0.147157  0.121079 0.0812423  -1.59877 -0.483062  -2.15546	 0.00267036  0.00501104 0.000434654  0.00456465 0.000974975  0.00169251 0.000106923           0           0           0
518.21	  -0.446063    0.137443 -0.00759737    0.203612   -0.924174 -0.00114233   -0.323176           0           0           0	-0.124303  0.119833 0.0889215  -1.60059 -0.482081  -2.15591	 0.00267178  0.00501145 0.000446019  0.00459298  0.00100187  0.00172023 0.000120592           0           0           0
519.22	   -1.50859   -0.493144   0.0133539    0.221444   -0.919468 -0.00213427   -0.324863           0           0           0	-0.128518 0.0819446 0.0781873  -1.59281 -0.483415  -2.14937	 0.00653663   0.0153939 0.000479123  0.00481892  0.00114394  0.00189063 0.000158024           0           0           0
520.46	 -2.08596 -0.927303 0.0207732  0.743655 -0.588569 -0.192367  -0.25211         0         0         0	 -0.09126 0.0630437 0.0690998  -1.59081 -0.480527  -2.16015	  0.0115307   0.0217943 0.000528184    0.003411   0.0043092  0.00146113  0.00111638           0           0           0
520.67	 -2.08636 -0.926998 0.0217135  0.738843 -0.591394 -0.200549 -0.253265         0         0         0	-0.0849501  0.0598427  0.0675607   -1.59047  -0.480038   -2.16197	  0.0115278   0.0217988 0.000537592  0.00342761  0.00428025   0.0014693  0.00116839           0           0           0
