514	-2.40227e-07 -1.23314e-06 -1.98113e-07     0.921954     0.224925    -0.315079   -0.0116016   0.00907886    0.0435239   0.00422528
514.01	9.73849e-05 0.000431121 2.50296e-05    0.924921    0.213108   -0.314294  -0.0180292   0.0104462    0.042947 0.000820263
514.02	0.000208445 0.000852997 1.71737e-05    0.927712    0.201247    -0.31346  -0.0243522   0.0117659   0.0414282 -0.00239144
514.03	 0.000331311   0.00125828 -2.34913e-05     0.930341      0.18935     -0.31252   -0.0307254    0.0128073    0.0396285  -0.00574157
514.04	 0.000464336   0.00164452 -9.81566e-05     0.932781     0.177392    -0.311561   -0.0371629    0.0137976    0.0376201   -0.0091915
514.05	  0.00060755   0.00200779 -0.000207931     0.935065     0.165397    -0.310493   -0.0434961    0.0148452     0.035034   -0.0127635
514.06	 0.000761086   0.00234347 -0.000353626     0.937169     0.153356    -0.309375   -0.0498386    0.0158618    0.0321006   -0.0163755
514.07	0.000924816  0.00264937 -0.00053557    0.939063    0.141334   -0.308257  -0.0562489   0.0168843   0.0290789  -0.0200133
514.08	  0.00109816   0.00292303 -0.000752847     0.940772     0.129264     -0.30711   -0.0626273    0.0177846    0.0256549   -0.0234419
514.09	 0.00128017   0.0031586 -0.00100397    0.942318    0.117209    -0.30585  -0.0689581   0.0186171   0.0214575  -0.0267826
514.1	 0.00147089  0.00335228 -0.00129113    0.943695    0.105064   -0.304523  -0.0752837    0.019527   0.0172787  -0.0306497
514.11	 0.00166834  0.00349747 -0.00161577    0.944899   0.0929131   -0.303114  -0.0815749   0.0199632   0.0117606  -0.0342775
514.12	0.00187028 0.00358565 -0.0019755   0.945917  0.0807698  -0.301643  -0.087916  0.0204249 0.00587368 -0.0376682
514.13	  0.00207662   0.00361481  -0.00237018     0.946729    0.0685957    -0.300185   -0.0942743    0.0208438 -4.00559e-05   -0.0412688
514.14	 0.00228926  0.00358408 -0.00280181    0.947369   0.0563858   -0.298671   -0.100542   0.0216829 -0.00610631  -0.0450572
514.15	 0.00250984   0.0034898 -0.00327299    0.947848   0.0441966   -0.297036   -0.106778   0.0224345  -0.0127499  -0.0491789
514.16	 0.00274254  0.00333258 -0.00378795    0.948136   0.0319596   -0.295408   -0.112921   0.0241041  -0.0186951  -0.0538133
514.17	 0.00298685  0.00310987 -0.00434595    0.948221   0.0196876   -0.293783   -0.119081   0.0247592  -0.0258466  -0.0577852
514.18	 0.000592115    0.0034096  0.000512027     0.925018     0.211892    -0.314897    -0.016822   0.00140317 -0.000791079  -0.00308946
514.19	0.000612274  0.00339436 0.000464567     0.92778    0.199979   -0.314162  -0.0231436  0.00262857 -0.00225664 -0.00640262
514.2	0.000647427  0.00336427 0.000381919    0.930376    0.188005   -0.313353  -0.0294179  0.00440204 -0.00376167   -0.010127
514.21	0.000697661  0.00331582 0.000264072    0.932811    0.175973   -0.312444  -0.0357164  0.00564489 -0.00592838  -0.0134425
514.22	0.000762767  0.00324787  0.00011017    0.935065     0.16386   -0.311514  -0.0419842  0.00737631 -0.00766239  -0.0173379
514.23	 0.000842054   0.00316145 -8.07322e-05     0.937119     0.151753    -0.310561   -0.0482837     0.008481  -0.00962175   -0.0208425
514.24	 0.000929202   0.00304955 -0.000304546     0.938984     0.139661    -0.309569   -0.0545131   0.00894858   -0.0127584   -0.0239202
514.25	  0.00102191   0.00290142 -0.000558842     0.940678      0.12751    -0.308501   -0.0607726   0.00959206   -0.0168672    -0.026939
514.26	 0.00112146  0.00270921 -0.00084423    0.942202    0.115311   -0.307351  -0.0670355   0.0103194  -0.0215739  -0.0301386
514.27	 0.00123148  0.00246703 -0.00116662    0.943542    0.103125   -0.306139  -0.0732974   0.0116835  -0.0268637  -0.0343394
514.28	  0.0013556  0.00217951 -0.00152883    0.944681    0.090878   -0.304955  -0.0795117   0.0131408  -0.0306386  -0.0381027
514.29	0.00149299  0.0018503 -0.0019293   0.945649  0.0786115  -0.303679 -0.0857147  0.0143374 -0.0352047 -0.0419913
514.3	 0.00164166  0.00147791 -0.00236778    0.946422   0.0662857   -0.302407  -0.0918807   0.0153961  -0.0392735  -0.0457038
514.31	0.00179573 0.00106523  -0.002841   0.947025  0.0539209  -0.301076 -0.0979275  0.0154195 -0.0432617 -0.0489404
514.32	 0.00195018 0.000610937 -0.00334727    0.947449    0.041489   -0.299718    -0.10387   0.0154694   -0.047597  -0.0523151
514.33	 0.00210225 0.000104739 -0.00388608    0.947693   0.0290376   -0.298302   -0.109777   0.0149444  -0.0536426  -0.0554456
514.34	  0.00224856 -0.000470657  -0.00445722     0.947763    0.0165365     -0.29679    -0.115705    0.0143172   -0.0614366   -0.0587819
