308.5	        0         0         0 -0.229811 0.0464377 -0.425917  0.873856         0         0         0	 -7.93058 -0.508003    -15.51   4.97768  -1.33763  0.173584	          0           0           0 9.68176e-05 0.000183469 0.000447785 0.000217773           0           0           0
308.7	 0.0204042 0.00674158 -0.0122895  -0.585656   0.336395  -0.396359   0.621889          0          0          0	 -7.68333 -0.180762  -17.3898   4.60539  -2.74497 -0.543689	0.000100845 0.000103031 0.000100679 0.000208331 0.000330143 0.000341861 0.000214124           0           0           0
309	0.00139568 -0.0889937 -0.0461608  -0.523725   0.613468  -0.590914 -0.0137956          0          0          0	 -8.77487 -0.653329   -18.388    4.1372  -2.67269   1.23457	0.000172842 0.000147161 0.000144573 0.000409646 0.000333398 7.38694e-05 0.000372485           0           0           0
309.5	 0.225966 -0.067056 -0.248919 -0.679814  0.467747 -0.175197  0.537002         0         0         0	-9.00555  1.35723 -18.8899  4.55089 -2.56834 -1.03612	0.000221512 0.000365203 0.000193565 0.000389047 0.000552794 0.000499171 0.000183138           0           0           0
310	 0.0996866  -0.195945  -0.418543   -0.55272   0.822936 -0.0309163   0.127755          0          0          0	 -9.81835  0.329065  -18.0114   4.88156  -2.26497 -0.590871	0.000414618 0.000262658 0.000229913 0.000889775 0.000602738  0.00020983 0.000135266           0           0           0
310.4	  0.154015  -0.150628  -0.448134  -0.434433   0.800198 -0.0404593   0.411479          0          0          0	 -9.55811  0.669237   -18.426   5.37142  -2.94007 -0.837429	0.000364926 0.000366442 0.000252929  0.00110048 0.000622167 0.000617131 0.000171486           0           0           0
310.8	0.0478488 -0.167918 -0.477236 -0.370002  0.925362 0.0774777 0.0283011         0         0         0	 -9.55811  0.669237   -18.426   5.37142  -2.94007 -0.837429	0.000429052 0.000284007 0.000274332  0.00165761 0.000670718  0.00024129 0.000204113           0           0           0
