819.03	 7.95581e-07 -1.05397e-06  3.51167e-09     0.819557     0.474491    -0.306862     0.094971            0            0            0
819.04	-2.15989e-05  0.000190468 -8.14499e-06      0.81566     0.479901    -0.308387    0.0963904   -0.0044789    0.0383044   -0.0016297
819.05	-8.95182e-05  0.000768776 -3.23468e-05     0.811687     0.485256    -0.310051    0.0977707  -0.00910496    0.0773572  -0.00321066
819.06	-0.000208648    0.0017452 -7.63638e-05     0.807628     0.490597    -0.311803    0.0991437    -0.014721     0.117927  -0.00559274
819.07	-0.000208648    0.0017452  -0.00350846     0.807628     0.490597    -0.311803    0.0991437    -0.014721     0.117927    -0.103653
819.08	-0.000414223   0.00313356  -0.00455155     0.803597     0.495867    -0.313375     0.100716    -0.026394     0.159746    -0.104964
819.09	-0.000719972   0.00493121  -0.00560516     0.799568     0.501076    -0.314877     0.102305   -0.0347558     0.199785    -0.105758
819.1	 -0.00153738   0.00971595 -0.000367975     0.791411     0.511503    -0.317685     0.105397   -0.0463822     0.278506  -0.00809959
819.11	-0.00202927   0.0127001 -0.00045212      0.7873     0.51661   -0.319109    0.106967  -0.0519951    0.318317 -0.00872939
819.12	 -0.00256012    0.0160804 -0.000542179     0.783143     0.521714    -0.320503     0.108535   -0.0541763     0.357756  -0.00928243
819.13	  -0.0031105    0.0198597 -0.000635962     0.778908     0.526819    -0.321956     0.110033    -0.055899     0.398093  -0.00947419
819.14	 -0.00368205    0.0240366 -0.000729203     0.774585     0.531952    -0.323439     0.111503     -0.05841     0.437297  -0.00917402
819.15	 -0.00428287    0.0286072 -0.000818459     0.770295     0.537054    -0.324764     0.112901   -0.0617558     0.476812  -0.00867729
819.16	 -0.00491821    0.0335765 -0.000909536     0.765957     0.542121    -0.326108     0.114319   -0.0653106     0.517057  -0.00953805
819.17	-0.00558776   0.0389539 -0.00101356    0.761584    0.547164   -0.327415    0.115763  -0.0686008     0.55843  -0.0112663
819.18	-0.00628732   0.0447477 -0.00113374     0.75717    0.552174   -0.328717    0.117224    -0.07131    0.600315  -0.0127698
819.19	-0.00628732   0.0447477   -0.016333     0.75717    0.552174   -0.328717    0.117224    -0.07131    0.600315    -0.11083
819.2	-0.00700375   0.0509627  -0.0174517    0.752719    0.557173   -0.329991    0.118657  -0.0719763    0.642694   -0.112911
819.21	-0.00771999   0.0575983  -0.0185884    0.748234    0.562108   -0.331296    0.120095  -0.0712729    0.684418    -0.11442
819.22	-0.00914144   0.0721162 -0.00177866    0.739069    0.571918   -0.334025    0.122941  -0.0708863     0.76735  -0.0185614
819.23	-0.00985103   0.0799992 -0.00196832    0.734439    0.576782   -0.335319    0.124432  -0.0710305    0.809261  -0.0193702
819.24	 -0.0105613   0.0883045 -0.00216723    0.729812    0.581586   -0.336536    0.125997  -0.0710166    0.851789  -0.0204123
819.25	-0.0112715  0.0970364 -0.0023763   0.725156   0.586355  -0.337728   0.127577 -0.0710266   0.894604 -0.0214015
819.26	 -0.0119764    0.106195 -0.00259528    0.720524    0.591077   -0.338799    0.129183  -0.0699624     0.93714  -0.0223953
819.27	 -0.0126648    0.115777 -0.00282392    0.715833    0.595756   -0.339918    0.130815  -0.0677117    0.979206  -0.0233319
819.28	 -0.0133225    0.125778 -0.00306124    0.711155    0.600396   -0.340961    0.132397  -0.0638268     1.02107  -0.0241316
819.29	-0.0139402   0.136199 -0.0033063   0.706399   0.605039  -0.342024   0.133967 -0.0597224    1.06316 -0.0248808
819.3	-0.000433187  0.000487962 -9.68868e-05     0.680473     0.658564    -0.277427     0.162125            0            0            0
819.31	-0.000761666  0.000746452 -0.000100884     0.676675     0.662948    -0.285312     0.145625   -0.0656957    0.0516981 -0.000799441
819.32	-0.000761666  0.000746452  -0.00157178     0.676675     0.662948    -0.285312     0.145625   -0.0656957    0.0516981   -0.0988594
819.33	-0.00172643  0.00151406 -0.00256393    0.672514     0.66718   -0.293168    0.129028   -0.127257    0.101823  -0.0995695
819.34	 -0.0032966  0.00277837 -0.00356241    0.668118    0.671166   -0.300858    0.112422   -0.186779     0.15104   -0.100127
819.35	 -0.00812326    0.0067477 -0.000182341     0.658642     0.678347    -0.315899    0.0790179     -0.29428     0.245267  -0.00325938
819.36	  -0.0113098   0.00942661 -0.000218869     0.653529     0.681599     -0.32318    0.0622746    -0.343023     0.290515  -0.00404612
819.37	  -0.0149679     0.012553 -0.000263572     0.648169     0.684605    -0.330343     0.045465    -0.388606     0.334764  -0.00489447
819.38	  -0.0190656    0.0161156 -0.000316831     0.642576     0.687316    -0.337446    0.0286985    -0.430937     0.377745  -0.00575732
819.39	  -0.0235646    0.0201021 -0.000378849      0.63673     0.689777    -0.344443    0.0119096    -0.468852      0.41956  -0.00664633
819.4	  -0.0284253    0.0245004 -0.000448309     0.630658     0.692006    -0.351245   -0.0049129    -0.503297     0.460101  -0.00724575
819.41	  -0.0336113    0.0292993 -0.000526424     0.624335     0.693943    -0.358023   -0.0216528    -0.533889     0.499691   -0.0083772
819.42	  -0.0390851     0.034486 -0.000615612     0.617755     0.695651    -0.364651   -0.0384484     -0.56088     0.537645  -0.00946049
819.43	  -0.0448144     0.040047 -0.000715045     0.610968     0.697095    -0.371117   -0.0552139    -0.584987     0.574559    -0.010426
819.44	-0.0448144   0.040047 -0.0139531   0.610968   0.697095  -0.371117 -0.0552139  -0.584987   0.574559  -0.108486
819.45	-0.0507654  0.0459684 -0.0150412   0.603953   0.698253    -0.3775 -0.0719531  -0.605213   0.609703  -0.109127
819.46	 -0.056898  0.0522317 -0.0161334   0.596741   0.699178  -0.383639 -0.0887231  -0.621305   0.642958  -0.109309
819.47	  -0.069579   0.0657362 -0.00117276    0.581595    0.700257   -0.395558   -0.122149   -0.644657    0.706606  -0.0127939
819.48	 -0.0760579   0.0729537 -0.00130461    0.573659    0.700398   -0.401367   -0.138786   -0.651129    0.736898  -0.0135762
819.49	 -0.0825819   0.0804661 -0.00144481    0.565563    0.700247   -0.406998   -0.155387   -0.653663    0.765576   -0.014464
819.5	 -0.0891152   0.0882605 -0.00159401    0.557247    0.699868   -0.412448   -0.171893   -0.653011    0.793318  -0.0153763
819.51	 -0.0956235   0.0963248 -0.00175278    0.548684    0.699268   -0.417767   -0.188259   -0.648646    0.819544  -0.0163788
819.52	  -0.102072    0.104645 -0.00192084    0.539991    0.698339   -0.422925   -0.204616   -0.641041    0.844569   -0.017233
819.53	  -0.108427     0.11321 -0.00209901    0.531051    0.697209   -0.427896   -0.220881   -0.629877    0.868285  -0.0184009
819.54	  -0.114653    0.122003 -0.00228615    0.521907    0.695825    -0.43273   -0.237036   -0.615314    0.890428   -0.019027
819.55	  -0.120715    0.131013 -0.00247935     0.51257    0.694151   -0.437424   -0.253153   -0.597224    0.911477   -0.019613
819.56	  -0.126571    0.140223 -0.00267976    0.503066    0.692236   -0.441936   -0.269121   -0.573922    0.930516  -0.0204681
819.57	 -0.126571   0.140223 -0.0286657   0.503066   0.692236  -0.441936  -0.269121  -0.573922   0.930516  -0.118528
819.58	 -0.132176   0.149617 -0.0298556   0.493385   0.690061  -0.446246  -0.285045  -0.547103   0.948405  -0.119456
819.59	 -0.137498   0.159184 -0.0310545   0.483498   0.687618  -0.450406   -0.30091  -0.517311    0.96489  -0.120322
819.6	  -0.147147    0.178769 -0.00356903    0.463105    0.681955   -0.458262   -0.332365   -0.445236    0.992762  -0.0241178
819.61	    -0.1514    0.188761 -0.00381175    0.452626    0.678706   -0.461913    -0.34803   -0.405292     1.00575  -0.0244258
819.62	  -0.155239    0.198879 -0.00405702    0.441971    0.675212   -0.465425   -0.363497   -0.362617     1.01775  -0.0246289
819.63	  -0.158634     0.20911 -0.00430648    0.431157    0.671442   -0.468818   -0.378786   -0.316305     1.02845  -0.0252641
819.64	  -0.161552    0.219445 -0.00456149      0.4202    0.667473   -0.471968   -0.393901   -0.267357     1.03859  -0.0257376
819.65	  -0.163964    0.229877 -0.00481964    0.409107    0.663228   -0.474968   -0.408859   -0.215113     1.04769  -0.0258908
819.66	  -0.165831    0.240387 -0.00508002    0.397925    0.658725   -0.477781    -0.42363   -0.158123     1.05437   -0.026187
819.67	  -0.167116    0.250962 -0.00533901    0.386577    0.654015   -0.480394   -0.438228  -0.0989653     1.06061  -0.0256099
819.68	  -0.167788     0.26159 -0.00559245    0.375076    0.649078   -0.482844   -0.452634  -0.0354041     1.06496  -0.0250785
819.69	 -0.167788    0.26159 -0.0433456   0.375076   0.649078  -0.482844  -0.452634 -0.0354041    1.06496  -0.123139
819.7	 -0.167795   0.272249 -0.0445804   0.363437   0.643842  -0.485165  -0.466901  0.0339458    1.06686  -0.123832
819.71	 0.000556314 -0.000149405 -0.000189425     0.680925     0.658037    -0.277325     0.162538            0            0            0
819.72	 0.000434601  6.13137e-06 -0.000193833     0.680617     0.657429    -0.279569     0.162448   -0.0243426    0.0311072 -0.000881448
819.73	 6.97677e-05  0.000476016 -0.000208014     0.680324     0.656796    -0.281813     0.162359   -0.0486241    0.0628696  -0.00195485
819.74	-0.000539378   0.00126591 -0.000234632      0.68006     0.656104    -0.284059     0.162344    -0.073205    0.0951084  -0.00336882
819.75	  -0.0013918   0.00237985 -0.000274248     0.679751     0.655437    -0.286315      0.16237   -0.0972785      0.12768  -0.00455423
819.76	 -0.00248153   0.00381787 -0.000322544     0.679422     0.654787    -0.288558     0.162398    -0.120669     0.159924  -0.00510512
819.77	 -0.0038054  0.00558237 -0.00037746    0.679119    0.654101   -0.290838    0.162365   -0.144104    0.192977 -0.00587803
819.78	  -0.0053635    0.0076784 -0.000440769     0.678814     0.653422    -0.293066     0.162371    -0.167515     0.226229  -0.00678364
819.79	 -0.00715103    0.0101073 -0.000511033     0.678519     0.652718    -0.295311     0.162366    -0.189993     0.259549   -0.0072693
819.8	 -0.00915973    0.0128727 -0.000588999     0.678228     0.652035    -0.297506     0.162318    -0.211746     0.293527  -0.00832381
819.81	  -0.0113869      0.01598 -0.000677562     0.677952     0.651309    -0.299715     0.162321    -0.233689     0.327929  -0.00938875
819.82	-0.0113869    0.01598 -0.0109739   0.677952   0.651309  -0.299715   0.162321  -0.233689   0.327929  -0.107449
819.83	-0.0138294  0.0194314 -0.0120503   0.677629   0.650643  -0.301893   0.162307  -0.254803   0.362354  -0.107838
819.84	-0.0164768  0.0232248 -0.0131272   0.677293   0.649977  -0.304102   0.162254  -0.274691   0.396339  -0.107551
819.85	 -0.0223876   0.0318641 -0.00107721    0.676598     0.64862   -0.308654    0.161989   -0.316467    0.467717  -0.0112824
819.86	 -0.0256554   0.0367227 -0.00119636    0.676286    0.647914   -0.310854    0.161905     -0.3371    0.503994  -0.0125472
819.87	 -0.0291304   0.0419472 -0.00132815    0.675982    0.647179   -0.313076    0.161838   -0.357889    0.540921  -0.0138116
819.88	 -0.0328115   0.0475426 -0.00147283    0.675618    0.646465   -0.315326     0.16184   -0.378338    0.578141  -0.0151231
819.89	 -0.0366938   0.0535094 -0.00162984    0.675295    0.645725   -0.317532    0.161835   -0.398116     0.61522  -0.0162792
819.9	 -0.0407704   0.0598494 -0.00179761    0.674921    0.645023   -0.319745    0.161833   -0.417199    0.652791  -0.0172754
819.91	 -0.0450371   0.0665656 -0.00197604    0.674575    0.644278   -0.321921     0.16193   -0.436146     0.69045  -0.0184107
819.92	 -0.0494931   0.0736604 -0.00216588    0.674222    0.643523   -0.324161    0.161931   -0.455061    0.728509  -0.0195565
819.93	 -0.0541365   0.0811368 -0.00236653    0.673849    0.642806   -0.326349    0.161939   -0.473618    0.766772  -0.0205735
819.94	-0.0541365  0.0811368   -0.02443   0.673849   0.642806  -0.326349   0.161939  -0.473618   0.766772  -0.118634
819.95	-0.0589651  0.0889986 -0.0256212    0.67351   0.642023  -0.328552   0.162002  -0.492096    0.80559  -0.119609
819.96	-0.0639768    0.09725 -0.0268223   0.673165   0.641243  -0.330729   0.162091  -0.510253   0.844683  -0.120609
819.97	 -0.0745379    0.114942 -0.00327395    0.672485    0.639632   -0.335064    0.162379   -0.545853    0.924943  -0.0250289
819.98	 -0.0800833    0.124393 -0.00352905    0.672124    0.638837   -0.337201    0.162581   -0.563217    0.965168  -0.0259926
819.99	 -0.0857952    0.134245 -0.00379136    0.671762    0.638023   -0.339398    0.162701   -0.579174     1.00526  -0.0264681
820	  -0.091666      0.1445 -0.00405724    0.671413    0.637183    -0.34158    0.162865    -0.59498     1.04583  -0.0267086
820.01	 -0.0976935    0.155162 -0.00432743    0.671075    0.636349   -0.343764    0.162922    -0.61052     1.08644  -0.0273298
820.02	  -0.103878    0.166232 -0.00460579    0.670729    0.635525   -0.345917     0.16301   -0.626376     1.12768  -0.0283416
820.03	 -0.110218   0.177717 -0.0048943   0.670378   0.634699  -0.348049   0.163132  -0.641684    1.16923 -0.0293614
820.04	  -0.116711    0.189619 -0.00519263    0.669949    0.633931   -0.350222    0.163229   -0.656802     1.21114  -0.0303042
820.05	  -0.123353    0.201941 -0.00550046    0.669562    0.633116   -0.352425    0.163241   -0.671666     1.25326  -0.0312617
820.06	  -0.130141    0.214686 -0.00581681    0.669188    0.632291   -0.354587     0.16329    -0.68594     1.29582  -0.0320079
820.07	 -0.130141   0.214686 -0.0406281   0.669188   0.632291  -0.354587    0.16329   -0.68594    1.29582  -0.130068
820.08	  -0.13707   0.227858 -0.0419325   0.668789   0.631474  -0.356777   0.163316  -0.699869    1.33847  -0.130816
820.09	 -0.144138   0.241459 -0.0432454   0.668397   0.630618  -0.359005   0.163346  -0.713699    1.38182  -0.131762
820.1	  -0.158683    0.269978 -0.00717524    0.667649    0.628888   -0.363358    0.163448   -0.740731     1.47031  -0.0366254
820.11	  -0.166155    0.284903 -0.00754736    0.667275    0.628004    -0.36555    0.163491   -0.753646     1.51481  -0.0377986
820.12	  -0.173755    0.300275 -0.00793067    0.666856    0.627144   -0.367749     0.16357   -0.766463     1.55955   -0.038864
820.13	  -0.181481    0.316095 -0.00832358    0.666422    0.626281   -0.369994    0.163582   -0.778657     1.60436  -0.0397172
820.14	  -0.189327    0.332364 -0.00872593       0.666    0.625412   -0.372195    0.163627   -0.790533     1.64943  -0.0407536
820.15	  -0.197291    0.349086 -0.00913763    0.665578    0.624512   -0.374422    0.163699   -0.802222     1.69509  -0.0415861
820.16	  -0.205371    0.366266 -0.00955793    0.665144    0.623667   -0.376579     0.16374   -0.813832     1.74085  -0.0424726
820.17	 -0.213565   0.383905 -0.0099875   0.664683   0.622813  -0.378745   0.163867   -0.82496    1.78701 -0.0434418
820.18	 -0.221869   0.402008 -0.0104274   0.664249   0.621962  -0.380888   0.163892  -0.835767    1.83364 -0.0445324
820.19	 -0.221869   0.402008 -0.0570059   0.664249   0.621962  -0.380888   0.163892  -0.835767    1.83364  -0.142592
820.2	 -0.230278    0.42058 -0.0584373   0.663812   0.621105  -0.383042   0.163894  -0.846188    1.88062  -0.143703
820.21	 -0.238791   0.439622 -0.0598791   0.663356   0.620254  -0.385189   0.163929  -0.856345    1.92782  -0.144649
820.22	 -0.256117   0.479132 -0.0122931    0.66247   0.618527  -0.389462   0.163946  -0.876026    2.02348 -0.0487344
820.23	 -0.264924   0.499609 -0.0127854   0.661975   0.617672  -0.391651   0.163952   -0.88545    2.07186 -0.0497223
820.24	 -0.273823    0.52057 -0.0132878   0.661489   0.616806  -0.393825   0.163965  -0.894467    2.12045 -0.0507736
820.25	 -0.282813    0.54202 -0.0138017   0.660982   0.616006   -0.39594   0.163927  -0.903415    2.16954 -0.0520081
820.26	  -0.29189   0.563963 -0.0143288   0.660511   0.615159  -0.398043   0.163907   -0.91206    2.21898 -0.0533987
820.27	 -0.301051   0.586401 -0.0148687   0.660005   0.614345  -0.400153   0.163865  -0.920183     2.2686  -0.054587
