819.03	 7.95581e-07 -1.05397e-06  3.51167e-09     0.819557     0.474491    -0.306862     0.094971            0            0            0	-0.00627118  -0.0417205   0.0156988     1.04047    0.241683     1.45423	0.000141421 0.000141421 0.000141421 0.000305204 0.000521583 0.000176473  0.00028029           0           0           0
819.3	-0.000433187  0.000487962 -9.68868e-05     0.680473     0.658564    -0.277427     0.162125            0            0            0	-0.0066994 -0.0429919  0.0181452    1.04242   0.240631    1.45286	0.000175261 0.000175238 0.000173763  0.00064518 0.000666582 0.000160439 0.000273074           0           0           0
819.71	 0.000556314 -0.000149405 -0.000189425     0.680925     0.658037    -0.277325     0.162538            0            0            0	-0.00734964  -0.0449225   0.0218601     1.04538    0.239034     1.45077	0.000203011 0.000203059 0.000200931 0.000646222 0.000668594 0.000167396 0.000276888           0           0           0
822	 0.0268403  0.0237153 0.00226521   0.362997   0.870575  -0.194719   0.269103          0          0          0	0.0363342 -0.052614 0.0469594   1.02894  0.234291   1.45735	 0.00127691 0.000897653 0.000273031  0.00550826  0.00229673  0.00170233  0.00123192           0           0           0
822.98	  -1.22737  0.0210364  0.0243084  0.0121652   0.948494 -0.0850678   0.304918          0          0          0	 0.0550286 -0.0559055  0.0577006    1.02191   0.232261    1.46017	 0.00130114   0.0156134 0.000295617  0.00600129 7.73256e-05  0.00192942 0.000538729           0           0           0
823.23	  -1.22667  0.0198474    0.02388  0.0149226   0.943441 -0.0846251   0.320211          0          0          0	 0.0597976 -0.0567452  0.0604407    1.02011   0.231743    1.46089	  0.0013164   0.0156049 0.000312144  0.00596956 9.47713e-05  0.00202625 0.000536008           0           0           0
824.21	 -2.33437 -0.460728 0.0331676  -0.32037  0.895233 0.0349063  0.307737         0         0         0	  0.078492 -0.0600367  0.0711819    1.01308   0.229713     1.4637	 0.00713111   0.0296112 0.000332115  0.00566481  0.00202708  0.00194867 0.000227255           0           0           0
824.4	 -2.33371 -0.459957 0.0334157 -0.323829  0.890516 0.0394087  0.317118         0         0         0	 0.0829083 -0.0607487  0.0677078    1.01253   0.227297    1.46401	 0.00712171   0.0296028 0.000346961  0.00566499  0.00205696   0.0020302 0.000278649           0           0           0
825.43	 -2.42894   -1.8175 0.0613951 -0.717705  0.616814  0.191035  0.260666         0         0         0	 0.0976657 -0.0621603  0.0415455   0.997852   0.214453    1.46992	  0.0245322   0.0308285 0.000391783  0.00398929  0.00463801  0.00170196   0.0012595           0           0           0
825.63	 -2.42842  -1.81709 0.0614902 -0.710626  0.614748  0.202722   0.27568         0         0         0	0.0948075 -0.066875 0.0245521  0.995589  0.214303   1.47014	  0.0245278   0.0308217 0.000404519  0.00397808  0.00459452  0.00179403  0.00133118           0           0           0
