819.03	        0         0         0  0.819557  0.474491 -0.306862  0.094971         0         0         0
819.04	-2.23561e-05  0.000191507  -8.1395e-06     0.815661     0.479899    -0.308387    0.0963896  -0.00447123    0.0383013   -0.0016279
819.05	-9.01602e-05  0.000769768 -3.23143e-05     0.811689     0.485254    -0.310051     0.097769  -0.00908959     0.077351  -0.00320706
819.06	-0.000209098   0.00174611 -7.62863e-05     0.807631     0.490593    -0.311804    0.0991411   -0.0146979     0.117918  -0.00558734
819.07	-0.000209098   0.00174611  -0.00350839     0.807631     0.490593    -0.311804    0.0991411   -0.0146979     0.117918    -0.103647
819.08	-0.000414403   0.00313436  -0.00455141       0.8036     0.495862    -0.313376     0.100713   -0.0263631     0.159733    -0.104957
819.09	-0.000719804   0.00493187  -0.00560494     0.799572     0.501069    -0.314878       0.1023   -0.0347171     0.199769    -0.105749
819.1	 -0.00153628   0.00971622 -0.000367538     0.791417     0.511495    -0.317686     0.105391   -0.0463279     0.278483  -0.00808701
819.11	 -0.00202759    0.0127001 -0.000451548     0.787307     0.516601     -0.31911      0.10696   -0.0519329     0.318291  -0.00871501
819.12	 -0.00255778    0.0160802 -0.000541454     0.783151     0.521703    -0.320504     0.108528   -0.0541063     0.357726  -0.00926626
819.13	 -0.00310742    0.0198591 -0.000635066     0.778917     0.526807    -0.321957     0.110025    -0.055821     0.398059  -0.00945623
819.14	 -0.00367815    0.0240357 -0.000728119     0.774594     0.531939     -0.32344     0.111494   -0.0583242     0.437259  -0.00915428
819.15	 -0.00427808    0.0286058 -0.000817169     0.770306     0.537039    -0.324766     0.112891    -0.061662     0.476771  -0.00865575
819.16	 -0.00491243    0.0335747 -0.000908022     0.765968     0.542106     -0.32611     0.114308   -0.0652088     0.517011  -0.00951472
819.17	-0.00558093   0.0389517  -0.0010118    0.761597    0.547148   -0.327417    0.115751   -0.068491    0.558381  -0.0112412
819.18	-0.00627934   0.0447449 -0.00113172    0.757184    0.552157   -0.328719    0.117211   -0.071192    0.600261  -0.0127428
819.19	-0.00627934   0.0447449   -0.016331    0.757184    0.552157   -0.328719    0.117211   -0.071192    0.600261   -0.110803
819.2	-0.00699455   0.0509594  -0.0174494    0.752733    0.557154   -0.329993    0.118643  -0.0718503    0.642636   -0.112883
819.21	-0.0077095  0.0575944 -0.0185858    0.74825   0.562088  -0.331299   0.120081 -0.0711387   0.684356   -0.11439
819.22	 -0.0091281   0.0721109 -0.00177542    0.739087    0.571896   -0.334028    0.122925  -0.0707358    0.767279  -0.0185273
819.23	-0.00983614   0.0799933 -0.00196473    0.734458    0.576759   -0.335322    0.124415  -0.0708718    0.809187  -0.0193343
819.24	 -0.0105447   0.0882978 -0.00216327    0.729832    0.581563    -0.33654    0.125979  -0.0708496    0.851711  -0.0203745
819.25	 -0.0112533   0.0970289 -0.00237195    0.725178     0.58633   -0.337732    0.127558  -0.0708512    0.894521  -0.0213619
819.26	 -0.0119564    0.106187 -0.00259053    0.720547    0.591051   -0.338803    0.129164  -0.0697787    0.937052  -0.0223539
819.27	 -0.0126429    0.115768 -0.00281875    0.715857    0.595729   -0.339923    0.130795  -0.0675197    0.979113  -0.0232887
819.28	 -0.0132986    0.125768 -0.00305562     0.71118    0.600369   -0.340965    0.132376  -0.0636266     1.02097  -0.0240866
819.29	 -0.0139143    0.136188 -0.00330023    0.706426     0.60501   -0.342029    0.133946  -0.0595139     1.06306   -0.024834
819.3	        0         0         0  0.680473  0.658564 -0.277427  0.162125         0         0         0
819.31	-0.000328437  0.000258495 -3.98857e-06     0.676677     0.662947    -0.285313     0.145624   -0.0656874    0.0516991 -0.000797714
819.32	-0.000328437  0.000258495  -0.00147489     0.676677     0.662947    -0.285313     0.145624   -0.0656874    0.0516991   -0.0988577
819.33	-0.00129307  0.00102611 -0.00246701    0.672517    0.667177   -0.293169    0.129026    -0.12724    0.101824  -0.0995661
819.34	-0.00286304  0.00229045 -0.00346545    0.668122    0.671163   -0.300859    0.112419   -0.186754    0.151042   -0.100122
819.35	 -0.00768903   0.00625984 -8.52384e-05     0.658647     0.678342      -0.3159    0.0790136    -0.294239     0.245271  -0.00325073
819.36	  -0.0108751    0.0089388 -0.000121671     0.653535     0.681592    -0.323181    0.0622695    -0.342973      0.29052  -0.00403575
819.37	  -0.0145327    0.0120652 -0.000166261     0.648176     0.684597    -0.330345    0.0454591    -0.388547     0.334769  -0.00488236
819.38	  -0.0186298    0.0156278 -0.000219391     0.642584     0.687307    -0.337449    0.0286917    -0.430869     0.377751  -0.00574348
819.39	   -0.023128    0.0196144 -0.000281262      0.63674     0.689767    -0.344446     0.011902    -0.468775     0.419567  -0.00663075
819.4	  -0.0279879    0.0240128 -0.000350558     0.630669     0.691995    -0.351248  -0.00492129    -0.503212     0.460108  -0.00722843
819.41	   -0.033173    0.0288118 -0.000428491     0.624346     0.693931    -0.358026    -0.021662    -0.533795     0.499698  -0.00835815
819.42	 -0.0386458   0.0339986 -0.00051748    0.617768    0.695637   -0.364654  -0.0384584   -0.560777    0.537652 -0.00943971
819.43	  -0.0443741    0.0395597 -0.000616696     0.610981     0.697081    -0.371121   -0.0552247    -0.584875     0.574567   -0.0104035
819.44	-0.0443741  0.0395597 -0.0138548   0.610981   0.697081  -0.371121 -0.0552247  -0.584875   0.574567  -0.108463
819.45	-0.0503239  0.0454811 -0.0149426   0.603967   0.698237  -0.377504 -0.0719647  -0.605092   0.609711  -0.109102
819.46	-0.0564552  0.0517445 -0.0160346   0.596756   0.699161  -0.383643 -0.0887356  -0.621175   0.642966  -0.109283
819.47	 -0.0691334   0.0652491 -0.00107337    0.581612    0.700238   -0.395563   -0.122163   -0.644509    0.706614  -0.0127645
819.48	 -0.0756108   0.0724667 -0.00120491    0.573677    0.700378   -0.401372     -0.1388   -0.650972    0.736907   -0.013545
819.49	 -0.0821332   0.0799792 -0.00134479    0.565581    0.700226   -0.407003   -0.155402   -0.653496    0.765585   -0.014431
819.5	 -0.0886648   0.0877738 -0.00149366    0.557266    0.699846   -0.412453   -0.171909   -0.652835    0.793327  -0.0153416
819.51	 -0.0951713   0.0958382 -0.00165208    0.548704    0.699244   -0.417772   -0.188276   -0.648461    0.819552  -0.0163423
819.52	  -0.101618    0.104159 -0.00181976    0.540012    0.698314    -0.42293   -0.204633   -0.640846    0.844577  -0.0171948
819.53	   -0.10797    0.112723 -0.00199754    0.531073    0.697183   -0.427902   -0.220899   -0.629672    0.868293   -0.018361
819.54	  -0.114194    0.121517 -0.00218427    0.521929    0.695798   -0.432736   -0.237055     -0.6151    0.890436  -0.0189853
819.55	  -0.120255    0.130526 -0.00237705    0.512594    0.694123    -0.43743   -0.253173      -0.597    0.911484  -0.0195696
819.56	  -0.126108    0.139736 -0.00257701     0.50309    0.692207   -0.441942   -0.269142   -0.573688    0.930523   -0.020423
819.57	 -0.126108   0.139736 -0.0285629    0.50309   0.692207  -0.441942  -0.269142  -0.573688   0.930523  -0.118483
819.58	 -0.131711   0.149131 -0.0297524    0.49341   0.690031  -0.446252  -0.285067   -0.54686   0.948411  -0.119409
819.59	 -0.137031   0.158698 -0.0309508   0.483523   0.687586  -0.450412  -0.300932  -0.517058   0.964897  -0.120273
819.6	  -0.146674    0.178283 -0.00346434    0.463132    0.681921   -0.458269   -0.332389   -0.444964    0.992768  -0.0240657
819.61	  -0.150924    0.188276 -0.00370653    0.452653    0.678671   -0.461919   -0.348054    -0.40501     1.00575   -0.024372
819.62	  -0.154761    0.198393 -0.00395125    0.441999    0.675176   -0.465432   -0.363522   -0.362324     1.01775  -0.0245733
819.63	  -0.158152    0.208624 -0.00420015    0.431185    0.671405   -0.468824   -0.378812   -0.316003     1.02846  -0.0252068
819.64	  -0.161067    0.218959 -0.00445458    0.420229    0.667435   -0.471975   -0.393927   -0.267045     1.03859  -0.0256786
