1125.94	           0            0            0    0.0771125    -0.310945 -0.000469906     0.947294            0            0            0	-1.23963 0.164899 0.755089  1.06852 0.221905  2.01917	          0           0           0 0.000164083 4.68123e-05 0.000493349 8.08357e-06           0           0           0
1127.61	          0           0           0   0.0853422   -0.310801 0.000744863    0.946636           0           0           0	-1.23963 0.164899 0.755089  1.06852 0.221905  2.01917	          0           0           0 0.000172581 7.03504e-05 0.000499452 1.84104e-05           0           0           0
1128.53	-0.0397785   0.374803  0.0209172   0.037545  -0.305071  -0.142397   0.940875          0          0          0	 -0.643868   -1.33804    0.84289  -0.133607 -0.0444203   0.744929	    0.01119   0.0051364 0.000377647  0.00934574  0.00115042   0.0288234  0.00436229           0           0           0
1128.84	-0.0433403   0.376987  0.0206103  0.0344551  -0.326046  -0.134871   0.935049          0          0          0	-0.443121  -1.84447  0.872475  -0.53867  -0.13416  0.315565	 0.0113241 0.00535517 0.00039077 0.00998834 0.00105572  0.0286449 0.00413174          0          0          0
1129.62	    1.31414  -0.0609863 0.000776024  -0.0052196   -0.317611   -0.229623    0.919983           0           0           0	0.0619824   -3.1187  0.946914  -1.55786 -0.359957 -0.764772	  0.0155206   0.0778258 0.000406025     0.00973 0.000161922   0.0281835  0.00703444           0           0           0
1129.82	    1.31283  -0.0594475 -0.00163443  -0.0132225   -0.339967   -0.211529    0.916244           0           0           0	 0.191496  -3.44543  0.966001  -1.81919 -0.417854  -1.04178	  0.0154267   0.0777455 0.000418186   0.0104151 0.000408838   0.0280689  0.00648014           0           0           0
1130.46	   2.28659   -0.16058 -0.0728069 -0.0768261  -0.303813   -0.45356   0.834314          0          0          0	 -1.21691  -5.17787   1.69137  -2.17746 -0.380678  -1.83442	 0.0277945   0.142318 0.00136976  0.0116222 0.00293905  0.0319162  0.0173507          0          0          0
1130.84	   2.28906  -0.158664 -0.0730921 -0.0783756  -0.313258  -0.449827   0.832696          0          0          0	 -2.05315  -6.20651   2.12206  -2.39018 -0.358605  -2.30505	 0.0276481   0.142503 0.00137346  0.0119834  0.0029987  0.0318544  0.0172079          0          0          0
1131.63	  3.15234  -1.80472 0.0492699 0.0708673 -0.351667   0.13807  0.923171         0         0         0	 0.740769 -0.264695 -0.574258  -2.33605  -1.03054  -1.82912	   0.16163   0.204938 0.00287755  0.0155963 0.00345399  0.0418435 0.00634719          0          0          0
1131.8	  3.15549  -1.80655 0.0507393  0.190422 -0.264363  0.350527  0.878056         0         0         0	 0.615517 -0.162891 -0.486119  -2.10017 -0.885947  -1.62659	  0.161796   0.205189 0.00288844  0.0122534 0.00882628  0.0406988  0.0162472          0          0          0
1132.58	  4.34298 -0.801365 0.0200373  0.190677 -0.245748  0.382799  0.869894         0         0         0	 0.0408308   0.304211 -0.0817157   -1.01791  -0.222515  -0.697375	 0.0723183   0.309589 0.00289056  0.0113907 0.00883815  0.0403205  0.0177431          0          0          0
1132.72	   4.3425 -0.802229   0.01913  0.245597 -0.226629  0.441037  0.832951         0         0         0	 0.193346 -0.954125  0.461268 -0.702992 -0.110919 -0.482198	 0.0723922   0.309544 0.00289224   0.010742  0.0115412  0.0388349  0.0205869          0          0          0
1133.56	  4.75797  0.923026 0.0233778  0.319282  -0.14139  0.666468  0.658702         0         0         0	  0.100808   0.476479  -0.308398   0.348358  -0.300078 -0.0723091	   0.10389   0.348349 0.00502796 0.00753946  0.0156004  0.0317598  0.0322917          0          0          0
1133.77	   4.7536  0.925931 0.0229944  0.306943 -0.173962   0.67127  0.651858         0         0         0	0.0987364  0.430162 -0.278356  0.448844 -0.227539  0.127913	  0.104181    0.34795 0.00504473 0.00852554  0.0150426  0.0319461  0.0328974          0          0          0
1134.6	   4.91458    2.45838 -0.0109929   0.245469  -0.205583   0.549227   0.771901          0          0          0	0.0905476  0.247098 -0.159617     0.846 0.0591598  0.919265	  0.251655   0.362987 0.00504601  0.0100752  0.0120299  0.0378291  0.0269164          0          0          0
1134.85	   4.91085    2.45489 -0.0150695   0.259506  -0.218037   0.549651   0.763544          0          0          0	0.0880811  0.191959 -0.123852  0.965625  0.145515   1.15762	  0.251315   0.362639 0.00504701  0.0106855  0.0127178  0.0374196  0.0269372          0          0          0
1135.37	   5.21929    2.68465 -0.0229246 -0.0100322  -0.315578  -0.264843   0.911136          0          0          0	 0.0829508  0.0772684 -0.0494614    1.21444   0.325133    1.65341	   0.273681    0.391609  0.00504805   0.0154659 0.000494527   0.0446528   0.0129794           0           0           0
1135.76	   5.22166     2.6964 -0.0246661  -0.145496  -0.305611  -0.593394   0.730285          0          0          0	 0.0956233 -0.0372863 -0.0585792     1.0525   0.251495    1.28795	  0.274827   0.391831 0.00504908  0.0153594 0.00731242  0.0367027  0.0298228          0          0          0
1136.57	  4.21246   1.87891 -0.054583 -0.253006 -0.180515 -0.882954  0.351845         0         0         0	  0.121943  -0.275208 -0.0775162   0.716162  0.0985545   0.528906	  0.194912   0.298183 0.00505028 0.00907252  0.0127157   0.017683  0.0443756          0          0          0
1136.72	   4.21434    1.87789 -0.0551824  -0.288218  -0.163289  -0.894947   0.298893          0          0          0	 0.0786044   0.619927 -0.0836667   0.563597  0.0492063   0.375902	  0.194814   0.298353 0.00505128 0.00831199  0.0146161  0.0150759  0.0451286          0          0          0
1137.51	   2.63788    1.45133 -0.0793258  -0.300771 -0.0539109  -0.946061   0.107697          0          0          0	  0.139129  -0.994187 -0.0797201  0.0124869 0.00883491   0.156452	  0.154454   0.173073 0.00672991 0.00373441   0.015947 0.00554464  0.0485574          0          0          0
